,DATE,TIME,SYS-CTL,RF-CTRL,ECONCTRL,ACCH-SEL,HWC-VLV,CHWC-VLV,EA-DMPR,RA-DMPR,OA-DMPR,SF-SST,RF-SST,SF-WAT,RF-WAT,HWP-GPM,CHWP-GPM,RFCFMLAG,RF-SFSPD,SAT_SPT,SA_SPSPT,RMT-CFM,SA-CFM,RA-CFM,OA-CFM,SA-TEMP,MA-TEMP,RA-TEMP,HWC-DAT,CHWC-DAT,SA-SP,SF-DP,RF-DP,SF-SPD,RF-SPD,SA-HUMD,RA-HUMD,OA-TEMP,OAD-TEMP,HWC-EWT,HWC-LWT,HWC-MWT,CHWC-EWT,CHWC-LWT,CHWC-MWT,HWP-DP,CHWC-EAH,CHWC-LAH,RM-TEMP,PLN-TEMP,VAV-EAT,VAV-DAT,VAVHCVLV,VAV-DMPR,RMCLGSPT,RMHTGSPT,OCC-MAX,OCC-MIN,VAV-DP,VAVCFMDP,VAVHCEWT,VAVHCLWT,VAVHCGPM,RM-TEMP.1,PLN-TEMP.1,VAV-EAT.1,VAV-DAT.1,VAVHCVLV.1,VAV-DMPR.1,RMCLGSPT.1,RMHTGSPT.1,OCC-MAX.1,OCC-MIN.1,VAV-DP.1,VAVCFMDP.1,VAVHCEWT.1,VAVHCLWT.1,VAVHCGPM.1,RM-TEMP.2,PLN-TEMP.2,VAV-EAT.2,VAV-DAT.2,VAVHCVLV.2,VAV-DMPR.2,RMCLGSPT.2,RMHTGSPT.2,OCC-MAX.2,OCC-MIN.2,VAV-DP.2,VAVCFMDP.2,VAVHCEWT.2,VAVHCLWT.2,VAVHCGPM.2,RM-TEMP.3,PLN-TEMP.3,VAV-EAT.3,VAV-DAT.3,VAVHCVLV.3,VAV-DMPR.3,RMCLGSPT.3,RMHTGSPT.3,OCC-MAX.3,OCC-MIN.3,VAV-DP.3,VAVCFMDP.3,VAVHCEWT.3,VAVHCLWT.3,VAVHCGPM.3,IABBHT1,IABBHT2,IBBBHT1,IBBBHT2,WABBHT1,WABBHT2,WBBBHT1,WBBBHT2,SABBHT1,SABBHT2,SBBBHT1,SBBBHT2,EABBHT1,EABBHT2,EBBBHT1,EBBBHT2,IBBAMPS,WBBAMPS,SBBAMPS,EBBAMPS,IALITES1,IALITES2,IBLITES1,IBLITES2,WALITES1,WALITES2,WBLITES1,WBLITES2,SALITES1,SALITES2,SBLITES1,SBLITES2,EALITES1,EALITES2,EBLITES1,EBLITES2,IALITWAT,WALITWAT,SALITWAT,EALITWAT,IBLITWAT,WBLITWAT,SBLITWAT,EBLITWAT,HWC_GPM,CHWC_GPM,E_hcoil,E_ccoil,E_SF,E_RF,E_ZONE_I,E_ZONE_W,E_ZONE_S,E_ZONE_E,FAULT
360,5092008,600,1,1,3,1,100,0.0,100,0.0,0.0,0,0,35.139,35.139,0.021,13.383,0,80,55,1.4,11.805,2.248,2.228,2.139,71.4,69.406,71.34,68.399,66.891,0.0,-0.014,0.028,20.0,20.0,75.924,33.457,52.489,69.888,71.353,71.24,74.441,42.152,57.586,42.479,-10.82,37.313,86.625,71.75,71.25,71.063,71.375,0.0,0,72,70,1000,200,0.0,11.977,72.813,71.875,0.014,71.438,73.25,72.438,73.438,0.0,95.688,72,70,1000,200,0.0,0.0,74.813,74.938,0.024,71.313,73.75,72.625,73.375,0.0,98.625,72,70,1000,200,-0.001,0.0,74.313,74.188,0.034,71.313,73.125,72.625,73.063,0.0,97.25,72,70,1000,200,-0.001,0.0,74.313,73.938,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-0.149,0.0,0.0,0.001,0.001,-0.148,0.001,-0.574,0.284,0.0,0.0,0.035,0.035,0.002,0.0,0.001,0.001,NORMAL
361,5092008,601,1,1,3,1,100,0.0,100,40.0,40.0,1,1,128.843,90.19,23.825,13.339,0,80,55,1.4,535.828,574.814,665.485,2.293,70.431,69.512,71.655,68.505,66.677,0.027,0.195,0.032,21.535,17.228,40.165,33.709,52.469,69.78,127.577,71.24,122.747,42.298,57.69,42.551,-10.82,36.469,48.344,71.75,71.313,70.938,71.438,0.0,0,72,70,1000,200,0.004,44.125,72.813,71.688,0.014,71.438,73.188,71.625,73.0,0.0,97.0,72,70,1000,200,0.029,196.0,74.813,74.938,0.024,71.188,73.625,71.625,73.25,0.0,100.0,72,70,1000,200,0.032,203.875,74.313,74.188,0.033,71.313,73.063,72.25,73.188,0.0,100.0,72,70,1000,200,0.023,172.375,74.313,73.938,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.223,-0.222,-0.074,-0.146,-0.072,-0.222,-0.072,2.043,0.219,16.572,0.0,0.129,0.09,0.002,0.0,0.001,0.001,NORMAL
362,5092008,602,1,1,3,1,100,0.0,100,48.637,48.637,1,1,189.751,112.445,18.083,13.398,0,80,55,1.4,799.563,868.879,887.146,156.528,69.14,69.936,71.971,69.033,66.677,0.08,0.389,0.039,29.695,22.658,41.399,34.241,52.482,69.888,109.082,71.24,110.929,42.152,57.586,42.551,-10.82,37.563,47.219,71.75,71.313,70.063,71.125,0.0,0,72,70,1000,200,0.017,85.438,72.813,71.688,0.014,71.438,72.75,70.25,72.063,0.0,96.688,72,70,1000,200,0.056,268.25,74.813,74.688,0.024,71.313,73.125,70.438,72.563,0.0,88.688,72,70,1000,200,0.06,275.5,74.313,74.063,0.034,71.313,72.75,71.313,72.75,0.0,97.625,72,70,1000,200,0.045,238.625,74.313,74.125,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.223,-0.222,0.0,-0.072,-0.072,-0.222,-0.072,-0.883,0.346,0.0,0.0,0.19,0.112,0.002,0.0,0.001,0.001,NORMAL
363,5092008,603,1,1,3,1,100,0.0,100,57.077,57.077,1,1,272.914,133.529,0.011,13.412,0,80,55,1.4,1057.313,1127.703,1094.325,451.117,68.602,70.042,72.181,69.456,67.212,0.16,0.631,0.061,37.525,30.02,39.576,33.485,52.489,68.062,108.49,71.24,110.338,42.152,57.586,42.551,-10.82,35.313,43.875,71.75,71.313,69.688,70.813,0.0,0,72,70,1000,200,0.039,127.188,72.875,71.688,0.014,71.25,72.375,69.875,71.375,0.0,82.375,72,70,1000,200,0.099,354.25,74.813,74.688,0.024,71.313,72.563,69.938,71.75,0.0,75.5,72,70,1000,200,0.086,325.0,74.313,74.063,0.034,71.313,72.438,70.813,72.313,0.0,84.875,72,70,1000,200,0.076,307.25,74.25,74.125,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.297,-0.148,-0.148,-0.146,-0.072,-0.222,-0.072,-0.001,0.347,0.0,0.0,0.273,0.134,0.002,0.0,0.001,0.0,NORMAL
364,5092008,604,1,1,3,1,100,0.0,100,65.947,65.947,1,1,391.215,158.126,0.011,13.354,0,80,55,1.4,1271.25,1321.404,1248.804,861.165,68.709,68.769,72.076,69.139,67.855,0.309,0.897,0.094,44.447,34.702,38.595,32.896,52.482,63.872,108.047,71.24,109.747,42.152,57.586,42.624,-10.82,34.719,41.938,71.75,71.25,69.438,70.375,0.0,0,72,70,1000,200,0.072,172.125,72.813,71.688,0.014,71.438,72.125,69.75,70.75,0.0,65.25,72,70,1000,200,0.144,418.5,74.813,74.688,0.024,71.313,72.188,69.688,71.375,0.0,64.063,72,70,1000,200,0.101,349.25,74.313,74.063,0.034,71.313,72.25,70.563,71.875,0.0,70.25,72,70,1000,200,0.108,361.75,74.25,73.938,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.297,-0.148,-0.148,-0.072,-0.072,-0.222,-0.072,-0.001,0.408,0.0,0.0,0.391,0.158,0.002,0.0,0.001,0.001,NORMAL
365,5092008,605,1,1,3,1,100,0.0,100,75.773,75.773,1,1,480.234,183.895,0.011,13.456,0,80,55,1.4,1364.0,1399.147,1361.931,1130.493,68.709,66.541,72.076,67.765,67.748,0.541,1.135,0.131,50.067,39.034,38.23,32.7,52.469,60.435,107.677,71.347,109.304,42.152,57.586,42.624,-10.82,35.563,41.156,71.75,71.125,69.25,70.125,0.0,0,72,70,1000,200,0.112,212.75,72.875,71.688,0.014,71.438,71.75,69.688,70.375,0.0,51.563,72,70,1000,200,0.161,439.25,74.813,74.688,0.024,71.313,71.938,69.563,71.125,0.0,55.719,72,70,1000,200,0.096,338.0,74.313,74.063,0.042,71.313,72.063,70.438,71.563,0.0,57.656,72,70,1000,200,0.12,378.25,74.313,73.938,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.223,-0.222,-0.074,-0.072,-0.072,-0.222,-0.072,0.0,0.412,0.0,0.0,0.48,0.184,0.002,0.0,0.002,0.001,NORMAL
366,5092008,606,1,1,3,1,100,0.0,100,84.243,84.243,1,1,522.401,203.807,0.021,13.368,0,80,55,1.4,1364.0,1338.438,1433.163,1216.832,68.279,64.313,71.76,65.969,67.105,0.747,1.297,0.157,53.89,42.652,38.37,32.7,52.456,58.394,107.233,72.09,109.009,42.152,57.481,42.624,-10.82,37.156,41.125,71.75,71.125,68.75,69.625,0.0,0,72,70,1000,200,0.139,233.875,72.813,71.688,0.014,71.438,71.563,69.188,69.938,0.0,42.719,72,70,1000,200,0.143,410.0,74.813,74.688,0.024,71.313,71.75,69.313,70.563,0.0,51.594,72,70,1000,200,0.081,308.5,74.438,74.063,0.038,71.375,71.813,70.0,71.313,0.0,49.938,72,70,1000,200,0.106,355.5,74.25,74.125,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.01,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.223,-0.222,-0.074,-0.146,-0.072,-0.296,0.001,-0.001,0.412,0.0,0.0,0.522,0.204,0.002,0.0,0.002,0.0,NORMAL
367,5092008,607,1,1,3,1,100,0.0,100,88.007,88.007,1,1,548.17,219.034,0.011,13.383,0,80,55,1.4,1309.0,1253.671,1447.468,1222.362,67.525,62.51,71.76,64.279,65.928,0.914,1.344,0.182,56.788,45.057,39.127,32.7,52.443,57.105,107.085,72.515,108.713,42.298,57.586,42.624,-10.82,39.5,42.219,71.5,70.938,68.0,69.125,0.0,0,72,70,1000,200,0.149,241.5,72.75,71.563,0.014,71.438,71.438,68.625,69.563,0.0,37.906,72,70,1000,200,0.118,370.75,74.813,74.688,0.024,71.313,71.625,68.813,70.438,0.0,49.094,72,70,1000,200,0.067,281.75,74.313,74.063,0.034,71.375,71.625,69.625,70.938,0.0,45.781,72,70,1000,200,0.088,323.25,74.313,73.938,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.032,0.01,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.223,-0.222,-0.148,-0.072,-0.146,-0.222,-0.072,-0.001,0.285,0.0,0.0,0.548,0.219,0.002,0.0,0.001,0.001,NORMAL
368,5092008,608,1,1,3,1,100,0.0,100,95.984,95.984,1,1,554.026,229.575,0.011,13.427,0,80,55,1.4,1199.875,1192.665,1504.912,1213.112,66.772,60.918,71.55,62.695,64.643,0.983,1.47,0.197,58.885,46.877,39.801,32.7,52.43,56.461,106.789,72.834,108.492,42.225,57.481,42.697,-10.82,41.5,43.188,71.438,70.938,67.313,68.5,0.0,0,72,70,1000,200,0.152,243.875,72.813,71.688,0.014,71.438,71.313,68.125,69.125,0.0,34.344,72,70,1000,200,0.097,337.5,74.813,74.688,0.024,71.313,71.5,68.438,69.938,0.0,47.563,72,70,1000,200,0.057,259.25,74.313,74.063,0.034,71.313,71.5,69.313,70.688,0.0,42.188,72,70,1000,200,0.073,295.75,74.313,73.938,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.223,-0.148,-0.148,-0.072,-0.072,-0.222,-0.072,-0.001,0.415,0.0,0.0,0.554,0.23,0.002,0.0,0.001,0.001,NORMAL
369,5092008,609,1,1,3,1,100,8.824,100,100.0,100.0,1,1,557.54,233.089,0.011,13.324,0,80,55,1.4,1124.75,1100.705,1520.936,1122.282,65.911,59.857,71.445,61.427,63.359,1.173,1.567,0.215,60.439,48.08,40.894,32.644,52.443,56.031,106.567,73.471,108.27,42.225,57.481,42.624,-10.82,43.406,45.156,71.313,70.813,66.625,67.938,0.0,0,72,70,1000,200,0.148,241.25,72.813,71.688,0.014,71.438,71.188,67.688,68.75,0.0,32.125,72,70,1000,200,0.081,307.0,74.813,74.688,0.024,71.188,71.375,67.938,69.75,0.0,47.219,72,70,1000,200,0.047,237.875,74.313,74.063,0.034,71.313,71.375,68.938,70.5,0.0,40.031,72,70,1000,200,0.061,267.25,74.25,73.938,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.032,0.01,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-0.223,-0.222,-0.074,-0.146,-0.072,-0.222,-0.072,-0.001,0.348,0.0,0.737,0.558,0.233,0.002,0.0,0.001,0.001,NORMAL
